1	9
1	11
1	13
1	24
1	27
1	38
1	41
1	42
1	62
1	64
1	74
1	80
1	83
1	85
1	268
1	281
2	7
2	16
2	32
2	35
2	36
2	48
2	51
2	54
2	55
2	68
2	70
2	74
2	78
2	80
2	86
3	7
3	8
3	9
3	12
3	19
3	21
3	22
3	23
3	34
3	50
3	59
3	72
3	73
3	79
3	82
3	249
4	14
4	19
4	30
4	33
4	35
4	38
4	40
4	43
4	51
4	56
4	60
4	63
4	75
4	93
4	95
4	250
5	6
5	15
5	17
5	26
5	37
5	42
5	51
5	58
5	66
5	68
5	72
5	81
5	84
5	93
5	198
5	282
6	5
6	26
6	36
6	37
6	39
6	43
6	58
6	60
6	68
6	74
6	75
6	83
6	90
6	92
6	253
6	258
7	2
7	3
7	8
7	17
7	29
7	32
7	35
7	36
7	39
7	53
7	61
7	76
7	77
7	80
7	84
7	140
8	3
8	7
8	17
8	28
8	30
8	43
8	48
8	58
8	61
8	68
8	69
8	84
8	86
8	89
8	94
8	232
9	1
9	3
9	12
9	32
9	41
9	47
9	49
9	69
9	70
9	73
9	79
9	88
9	91
9	94
9	96
9	142
10	16
10	17
10	28
10	30
10	44
10	52
10	53
10	54
10	61
10	65
10	80
10	86
10	88
10	89
10	90
10	148
11	1
11	12
11	13
11	23
11	25
11	34
11	39
11	46
11	56
11	59
11	65
11	87
11	90
11	91
11	104
11	189
12	3
12	9
12	11
12	19
12	36
12	44
12	59
12	63
12	64
12	67
12	70
12	79
12	88
12	94
12	95
12	227
13	1
13	11
13	18
13	19
13	23
13	24
13	27
13	37
13	41
13	43
13	53
13	56
13	59
13	62
13	87
13	162
14	4
14	15
14	16
14	23
14	26
14	35
14	51
14	56
14	57
14	60
14	79
14	83
14	86
14	93
14	131
14	278
15	5
15	14
15	31
15	34
15	44
15	47
15	49
15	56
15	57
15	68
15	78
15	81
15	82
15	87
15	92
15	197
16	2
16	10
16	14
16	26
16	28
16	52
16	53
16	54
16	55
16	56
16	58
16	70
16	73
16	80
16	86
16	226
17	5
17	7
17	8
17	10
17	33
17	48
17	50
17	56
17	58
17	59
17	61
17	77
17	78
17	84
17	91
17	205
18	13
18	19
18	41
18	42
18	49
18	67
18	72
18	74
18	79
18	83
18	85
18	90
18	91
18	93
18	94
18	186
19	3
19	4
19	12
19	13
19	18
19	21
19	23
19	24
19	47
19	57
19	59
19	60
